Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 01:47:42.872000,44,2.0,+1.216,+1.216
0 days 01:47:46.822000,44,2.0,+1.266,+1.266
0 days 01:47:49.346000,44,2.0,+1.257,+1.257
0 days 01:47:52.100000,44,2.0,+1.271,+1.271
0 days 01:47:55.385000,44,2.0,+1.400,+1.400
0 days 01:47:59.958000,44,2.0,+1.442,+1.442
0 days 01:48:02.462000,44,2.0,+1.419,+1.419
0 days 01:48:04.912000,44,2.0,+1.366,+1.366
0 days 01:48:06.951000,44,2.0,+1.338,+1.338
0 days 01:48:09.993000,44,2.0,+1.359,+1.359
0 days 01:48:14.904000,44,2.0,+1.392,+1.392
0 days 01:48:16.144000,44,2.0,+1.418,+1.418
0 days 01:48:23.053000,44,2.0,+1.468,+1.468
0 days 01:48:26.003000,44,2.0,+1.444,+1.444
0 days 01:48:30.833000,44,2.0,+1.344,+1.344
0 days 01:48:34.182000,44,2.0,+1.483,+1.483
0 days 01:48:37.351000,44,2.0,+1.514,+1.514
0 days 01:48:41.288000,44,2.0,+1.797,+1.797
0 days 01:48:46.908000,44,2.0,+1.602,+1.602
0 days 01:48:50.840000,44,2.0,+1.521,+1.521
0 days 01:48:55.195000,44,2.0,+1.406,+1.406
0 days 01:48:56.490000,44,2.0,+1.422,+1.422
0 days 01:49:01.472000,44,2.0,+1.591,+1.591
0 days 01:49:06.731000,44,2.0,+1.664,+1.664
0 days 01:49:12.187000,44,2.0,+1.592,+1.592
0 days 01:49:16.071000,44,2.0,+1.521,+1.521
0 days 01:49:20.047000,44,2.0,+1.542,+1.542
0 days 01:49:22.481000,44,2.0,+1.506,+1.506
0 days 01:49:24.913000,44,2.0,+1.522,+1.522
0 days 01:49:28.560000,44,2.0,+1.663,+1.663
0 days 01:49:33.208000,44,2.0,+1.724,+1.724
0 days 01:49:35.679000,44,2.0,+1.692,+1.692
0 days 01:49:38.142000,44,2.0,+1.639,+1.639
0 days 01:49:40.186000,44,2.0,+1.613,+1.613
0 days 01:49:43.255000,44,2.0,+1.660,+1.660
0 days 01:49:48.129000,44,2.0,+1.685,+1.685
0 days 01:49:49.301000,44,2.0,+1.710,+1.710
0 days 01:49:56.202000,44,2.0,+1.677,+1.677
0 days 01:49:59.124000,44,2.0,+1.647,+1.647
0 days 01:50:03.929000,44,2.0,+1.519,+1.519
0 days 01:50:07.139000,44,2.0,+1.541,+1.541
0 days 01:50:10.245000,44,2.0,+1.489,+1.489
0 days 01:50:14.163000,44,2.0,+1.775,+1.775
0 days 01:50:19.849000,44,2.0,+1.523,+1.523
0 days 01:50:23.720000,44,2.0,+1.451,+1.451
0 days 01:50:28.065000,44,2.0,+1.347,+1.347
0 days 01:50:29.370000,44,2.0,+1.351,+1.351
0 days 01:50:34.270000,44,2.0,+1.420,+1.420
0 days 01:50:39.550000,44,2.0,+1.536,+1.536
0 days 01:50:45.131000,44,2.0,+1.457,+1.457
0 days 01:50:48.987000,44,2.0,+1.337,+1.337
0 days 01:50:52.812000,44,2.0,+1.352,+1.352
0 days 01:50:55.304000,44,2.0,+1.311,+1.311
0 days 01:50:57.680000,44,2.0,+1.278,+1.278
0 days 01:51:01.340000,44,2.0,+1.438,+1.438
0 days 01:51:06,44,2.0,+1.498,+1.498
0 days 01:51:08.435000,44,2.0,+1.449,+1.449
0 days 01:51:10.870000,44,2.0,+1.383,+1.383
0 days 01:51:12.856000,44,2.0,+1.343,+1.343
0 days 01:51:15.905000,44,2.0,+1.336,+1.336
0 days 01:51:20.802000,44,2.0,+1.379,+1.379
0 days 01:51:22.001000,44,2.0,+1.393,+1.393
0 days 01:51:29.053000,44,2.0,+1.421,+1.421
0 days 01:51:31.869000,44,2.0,+1.382,+1.382
0 days 01:51:36.619000,44,2.0,+1.253,+1.253
0 days 01:51:39.905000,44,2.0,+1.280,+1.280
0 days 01:51:43.074000,44,2.0,+1.315,+1.315
0 days 01:51:46.957000,44,2.0,+1.499,+1.499
0 days 01:51:52.707000,44,2.0,+1.349,+1.349
0 days 01:51:56.587000,44,2.0,+1.284,+1.284
0 days 01:52:00.932000,44,2.0,+1.192,+1.192
0 days 01:52:02.218000,44,2.0,+1.218,+1.218
0 days 01:52:07.251000,44,2.0,+1.455,+1.455
0 days 01:52:12.428000,44,2.0,+1.465,+1.465
0 days 01:52:17.952000,44,2.0,+1.386,+1.386
0 days 01:52:21.832000,44,2.0,+1.284,+1.284
0 days 01:52:25.741000,44,2.0,+1.267,+1.267
0 days 01:52:28.153000,44,2.0,+1.212,+1.212
0 days 01:52:30.548000,44,2.0,+1.193,+1.193
0 days 01:52:34.206000,44,2.0,+1.317,+1.317
0 days 01:52:38.831000,44,2.0,+1.250,+1.250
0 days 01:52:41.253000,44,2.0,+1.209,+1.209
0 days 01:52:43.649000,44,2.0,+1.146,+1.146
0 days 01:52:45.712000,44,2.0,+1.095,+1.095
0 days 01:52:48.724000,44,2.0,+1.089,+1.089
0 days 01:52:53.639000,44,2.0,+1.137,+1.137
0 days 01:52:54.796000,44,2.0,+1.162,+1.162
0 days 01:53:01.847000,44,2.0,+1.240,+1.240
0 days 01:53:04.828000,44,2.0,+1.205,+1.205
0 days 01:53:09.561000,44,2.0,+1.076,+1.076
0 days 01:53:13.424000,44,2.0,+1.219,+1.219
0 days 01:53:16.105000,44,2.0,+1.221,+1.221
0 days 01:53:20.136000,44,2.0,+1.520,+1.520
0 days 01:53:25.760000,44,2.0,+1.375,+1.375
0 days 01:53:29.639000,44,2.0,+1.304,+1.304
0 days 01:53:33.934000,44,2.0,+1.196,+1.196
0 days 01:53:35.233000,44,2.0,+1.149,+1.149
0 days 01:53:40.145000,44,2.0,+1.277,+1.277
0 days 01:53:45.385000,44,2.0,+1.293,+1.293
0 days 01:53:50.955000,44,2.0,+1.219,+1.219
0 days 01:53:54.791000,44,2.0,+1.109,+1.109
0 days 01:53:58.727000,44,2.0,+1.147,+1.147
0 days 01:54:01.164000,44,2.0,+1.112,+1.112
0 days 01:54:03.557000,44,2.0,+1.104,+1.104
0 days 01:54:07.266000,44,2.0,+1.279,+1.279
0 days 01:54:11.816000,44,2.0,+1.280,+1.280
0 days 01:54:14.258000,44,2.0,+1.219,+1.219
0 days 01:54:16.645000,44,2.0,+1.141,+1.141
0 days 01:54:18.654000,44,2.0,+1.097,+1.097
0 days 01:54:21.648000,44,2.0,+1.073,+1.073
0 days 01:54:26.575000,44,2.0,+1.223,+1.223
0 days 01:54:27.815000,44,2.0,+1.231,+1.231
0 days 01:54:34.831000,44,2.0,+1.276,+1.276
0 days 01:54:37.810000,44,2.0,+1.248,+1.248
0 days 01:54:42.588000,44,2.0,+1.134,+1.134
0 days 01:54:46.016000,44,2.0,+1.300,+1.300
0 days 01:54:49.205000,44,2.0,+1.265,+1.265
0 days 01:54:53.168000,44,2.0,+1.544,+1.544
0 days 01:54:58.809000,44,2.0,+1.351,+1.351
0 days 01:55:02.672000,44,2.0,+1.251,+1.251
0 days 01:55:07.007000,44,2.0,+1.130,+1.130
0 days 01:55:08.270000,44,2.0,+1.118,+1.118
0 days 01:55:13.289000,44,2.0,+1.341,+1.341
0 days 01:55:18.478000,44,2.0,+1.260,+1.260
0 days 01:55:24.031000,44,2.0,+1.162,+1.162
0 days 01:55:27.929000,44,2.0,+1.074,+1.074
0 days 01:55:31.936000,44,2.0,+1.190,+1.190
0 days 01:55:34.405000,44,2.0,+1.160,+1.160
0 days 01:55:36.793000,44,2.0,+1.145,+1.145
0 days 01:55:40.444000,44,2.0,+1.317,+1.317
0 days 01:55:45.097000,44,2.0,+1.318,+1.318
0 days 01:55:47.521000,44,2.0,+1.256,+1.256
0 days 01:55:49.929000,44,2.0,+1.180,+1.180
0 days 01:55:51.942000,44,2.0,+1.127,+1.127
0 days 01:55:55.029000,44,2.0,+1.148,+1.148
0 days 01:55:59.971000,44,2.0,+1.308,+1.308
0 days 01:56:01.128000,44,2.0,+1.330,+1.330
0 days 01:56:08.280000,44,2.0,+1.496,+1.496
0 days 01:56:11.256000,44,2.0,+1.474,+1.474
0 days 01:56:16.089000,44,2.0,+1.406,+1.406
0 days 01:56:19.534000,44,2.0,+1.579,+1.579
0 days 01:56:22.670000,44,2.0,+1.511,+1.511
0 days 01:56:26.639000,44,2.0,+1.775,+1.775
0 days 01:56:32.347000,44,2.0,+1.657,+1.657
0 days 01:56:36.223000,44,2.0,+1.600,+1.600
0 days 01:56:40.597000,44,2.0,+1.483,+1.483
0 days 01:56:41.914000,44,2.0,+1.477,+1.477
0 days 01:56:46.761000,44,2.0,+1.617,+1.617
