Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2021-07-18 14:03:22.569,0 days 01:02:22.559000,,0.0,0 days 00:00:00,8841,0,1,21,False,1,interpolation,0.010512154170376284,1.8394631270829966e-06,OnTrack,-1099,2075,1971
2021-07-18 14:03:22.600,0 days 01:02:22.590000,,0.0,0 days 00:00:00.031000,8852,0,1,21,False,1,pos,0.010521698919849467,1.8411333094669877e-06,OnTrack,-1099,2076,1971
2021-07-18 14:03:22.700,0 days 01:02:22.690000,,0.0,0 days 00:00:00.131000,8875,0,1,21,False,1,car,0.0,0.0,OnTrack,-1098,2076,1970
2021-07-18 14:03:22.820,0 days 01:02:22.810000,,0.0,0 days 00:00:00.251000,8688,0,1,21,False,1,pos,-0.03246695666696406,-5.681211354926703e-06,OnTrack,-1099,2076,1971
2021-07-18 14:03:22.940,0 days 01:02:22.930000,,0.0,0 days 00:00:00.371000,8502,0,1,21,False,1,car,0.0,0.0,OnTrack,-1099,2075,1971
2021-07-18 14:03:23.040,0 days 01:02:23.030000,,0.0,0 days 00:00:00.471000,7662,4,1,21,False,1,pos,0.1427944853408142,2.4986809199909114e-05,OnTrack,-1099,2076,1971
2021-07-18 14:03:23.180,0 days 01:02:23.170000,3,0.0,0 days 00:00:00.611000,6822,8,1,22,False,1,car,0.5333333333333333,9.332502027753407e-05,OnTrack,-1098,2077,1970
2021-07-18 14:03:23.260,0 days 01:02:23.250000,3,0.06666666666666665,0 days 00:00:00.691000,5982,13,1,22,False,1,pos,0.8658117846857187,0.00015150356692935496,OnTrack,-1097,2079,1971
2021-07-18 14:03:23.420,0 days 01:02:23.410000,4,0.1333333333333333,0 days 00:00:00.851000,5142,18,1,22,False,1,car,1.7333333333333334,0.0003033063159019857,OnTrack,-1093,2083,1971
2021-07-18 14:03:23.461,0 days 01:02:23.451000,4,0.13333333333333308,0 days 00:00:00.892000,4614,21,1,22,False,1,pos,1.9871186289314478,0.0003477147868854245,OnTrack,-1092,2085,1972
2021-07-18 14:03:23.659,0 days 01:02:23.649000,4,0.13333333333333286,0 days 00:00:01.090000,4086,25,1,23,False,1,car,3.3930555555555566,0.0005937318347344161,OnTrack,-1084,2094,1972
2021-07-18 14:03:23.681,0 days 01:02:23.671000,4,0.29999999999999893,0 days 00:00:01.112000,4227,28,1,27,False,1,pos,3.5687530239299172,0.0006244761531070698,OnTrack,-1084,2096,1972
2021-07-18 14:03:23.899,0 days 01:02:23.889000,4,0.466666666666665,0 days 00:00:01.330000,4369,32,1,31,False,1,car,5.52638888888889,0.0009670319158445525,OnTrack,-1073,2110,1972
2021-07-18 14:03:23.901,0 days 01:02:23.891000,4,0.3999999999999986,0 days 00:00:01.332000,4511,34,1,32,False,1,pos,5.546219888225373,0.0009705020316230545,OnTrack,-1073,2111,1972
2021-07-18 14:03:24.121,0 days 01:02:24.111000,4,0.33333333333333215,0 days 00:00:01.552000,4653,37,1,34,False,1,pos,7.967526080037427,0.0013941928743398894,OnTrack,-1059,2130,1972
2021-07-18 14:03:24.139,0 days 01:02:24.129000,55,0.2666666666666657,0 days 00:00:01.570000,4796,40,1,36,False,1,car,8.193055555555556,0.0014336570172322227,OnTrack,-1057,2131,1972
2021-07-18 14:03:24.341,0 days 01:02:24.331000,55,0.1999999999999993,0 days 00:00:01.772000,5426,46,1,42,False,1,pos,11.049803618011875,0.001933543400088239,OnTrack,-1042,2153,1973
2021-07-18 14:03:24.379,0 days 01:02:24.369000,55,0.13333333333333286,0 days 00:00:01.810000,6056,52,1,48,False,1,car,11.659722222222223,0.002040269649036194,OnTrack,-1038,2157,1973
2021-07-18 14:03:24.561,0 days 01:02:24.551000,55,0.2333333333333334,0 days 00:00:01.992000,6896,58,1,53,False,1,pos,14.893499367533567,0.002606130244647208,OnTrack,-1022,2181,1973
2021-07-18 14:03:24.619,0 days 01:02:24.609000,55,0.3333333333333339,0 days 00:00:02.050000,7736,65,1,58,False,1,car,15.993055555555552,0.0027985354387911575,OnTrack,-1016,2189,1973
2021-07-18 14:03:24.780,0 days 01:02:24.770000,55,0.5000000000000027,0 days 00:00:02.211000,8447,68,1,58,False,1,pos,19.163851072860986,0.0033533752311944894,OnTrack,-998,2213,1974
2021-07-18 14:03:24.859,0 days 01:02:24.849000,55,0.6666666666666714,0 days 00:00:02.290000,9158,72,1,59,False,1,car,20.793055555555554,0.0036384606212889643,OnTrack,-988,2225,1974
2021-07-18 14:03:25.000,0 days 01:02:24.990000,55,0.8666666666666707,0 days 00:00:02.431000,9615,76,1,59,False,1,pos,23.832871183487743,0.004170380974632845,OnTrack,-971,2249,1974
2021-07-18 14:03:25.099,0 days 01:02:25.089000,55,1.06666666666667,0 days 00:00:02.530000,10072,80,1,60,False,1,car,26.126388888888883,0.004571710824064304,OnTrack,-958,2266,1974
2021-07-18 14:03:25.220,0 days 01:02:25.210000,55,1.2666666666666728,0 days 00:00:02.651000,10235,86,1,64,False,1,pos,29.157323164052777,0.005102077079107197,OnTrack,-942,2289,1975
2021-07-18 14:03:25.339,0 days 01:02:25.329000,55,1.4666666666666757,0 days 00:00:02.770000,10399,93,1,69,False,1,car,32.326388888888886,0.005656614184790638,OnTrack,-924,2312,1975
2021-07-18 14:03:25.440,0 days 01:02:25.430000,55,1.4666666666666757,0 days 00:00:02.871000,11029,98,1,75,False,1,pos,35.11958886948679,0.00614538064384409,OnTrack,-909,2334,1976
2021-07-18 14:03:25.579,0 days 01:02:25.569000,55,1.4666666666666757,0 days 00:00:03.010000,11659,103,1,81,False,1,car,39.193055555555546,0.0068581738208638885,OnTrack,-886,2365,1976
2021-07-18 14:03:25.660,0 days 01:02:25.650000,55,1.6333333333333435,0 days 00:00:03.091000,12380,110,1,84,False,1,pos,41.740264572714125,0.007303895695571593,OnTrack,-872,2385,1977
2021-07-18 14:03:25.819,0 days 01:02:25.809000,55,1.8000000000000114,0 days 00:00:03.250000,13101,118,1,88,False,1,car,47.05972222222222,0.008234717869957517,OnTrack,-842,2425,1976
2021-07-18 14:03:25.880,0 days 01:02:25.870000,55,1.9666666666666757,0 days 00:00:03.311000,12541,123,1,92,False,1,pos,49.18347156313464,0.008606340901779487,OnTrack,-831,2442,1977
2021-07-18 14:03:26.059,0 days 01:02:26.049000,55,2.13333333333334,0 days 00:00:03.490000,11981,129,2,97,False,1,car,55.65972222222223,0.009739583821932756,OnTrack,-794,2492,1977
2021-07-18 14:03:26.100,0 days 01:02:26.090000,55,2.3000000000000114,0 days 00:00:03.531000,12179,134,2,98,False,1,pos,57.189249822976706,0.010007227311349244,OnTrack,-786,2504,1978
2021-07-18 14:03:26.299,0 days 01:02:26.289000,55,2.4666666666666828,0 days 00:00:03.730000,12378,139,2,100,False,1,car,64.92638888888888,0.011361106049254907,OnTrack,-740,2564,1978
2021-07-18 14:03:26.320,0 days 01:02:26.310000,55,2.633333333333347,0 days 00:00:03.751000,11711,146,2,100,False,1,pos,65.78622746211036,0.011511564397282346,OnTrack,-736,2571,1979
2021-07-18 14:03:26.539,0 days 01:02:26.529000,55,2.8000000000000114,0 days 00:00:03.970000,11044,154,2,100,False,1,car,75.19305555555556,0.01315761268959744,OnTrack,-684,2643,1980
2021-07-18 14:03:26.540,0 days 01:02:26.530000,55,2.933333333333342,0 days 00:00:03.971000,11278,157,2,100,False,1,pos,75.2371174813907,0.01316532283982625,OnTrack,-684,2644,1981
2021-07-18 14:03:26.760,0 days 01:02:26.750000,55,3.066666666666672,0 days 00:00:04.191000,11513,160,2,100,False,1,pos,85.16761732520295,0.014903005525994672,OnTrack,-628,2722,1982
2021-07-18 14:03:26.779,0 days 01:02:26.769000,55,3.200000000000003,0 days 00:00:04.210000,11748,163,3,100,False,1,car,86.05972222222222,0.015059109977752195,OnTrack,-623,2728,1982
2021-07-18 14:03:26.980,0 days 01:02:26.970000,55,3.0333333333333385,0 days 00:00:04.411000,12117,169,3,100,False,1,pos,95.85206231796231,0.016772616861501166,OnTrack,-572,2804,1984
2021-07-18 14:03:27.019,0 days 01:02:27.009000,4,2.8666666666666742,0 days 00:00:04.450000,12486,176,3,100,False,1,car,97.79305555555557,0.017112260423857946,OnTrack,-561,2819,1984
2021-07-18 14:03:27.200,0 days 01:02:27.190000,4,2.500000000000007,0 days 00:00:04.631000,11982,179,3,100,False,1,pos,106.90430475389014,0.018706587016710897,OnTrack,-512,2893,1985
2021-07-18 14:03:27.259,0 days 01:02:27.249000,4,2.13333333333334,0 days 00:00:04.690000,11478,182,4,100,False,1,car,109.92638888888891,0.019235404635171847,OnTrack,-495,2917,1985
2021-07-18 14:03:27.420,0 days 01:02:27.410000,4,1.8666666666666742,0 days 00:00:04.851000,11656,185,4,100,False,1,pos,118.32544758392665,0.020705108990846717,OnTrack,-448,2987,1987
