LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,4,,1,2.0,MEDIUM,False,True,0 days 01:41:18.427000,0.0,,2.0,
,5,,1,5.0,MEDIUM,False,True,0 days 01:41:28.426000,0.0,,5.0,
,14,,1,1.0,MEDIUM,False,True,0 days 01:41:33.431000,0.0,,1.0,
,55,,1,0.0,MEDIUM,True,True,0 days 01:41:33.431000,0.0,,0.0,
,7,,1,0.0,MEDIUM,True,True,0 days 01:41:43.446000,0.0,,0.0,
,18,,1,2.0,MEDIUM,False,True,0 days 01:41:48.910000,0.0,,2.0,
,31,,1,0.0,MEDIUM,True,True,0 days 01:41:48.910000,0.0,,0.0,
,10,,1,2.0,MEDIUM,False,True,0 days 01:41:53.455000,0.0,,2.0,
,99,,1,0.0,MEDIUM,True,True,0 days 01:41:58.461000,0.0,,0.0,
,63,,1,0.0,MEDIUM,True,True,0 days 01:42:03.461000,0.0,,0.0,
,22,,1,2.0,MEDIUM,False,True,0 days 01:42:08.474000,0.0,,2.0,
,47,,1,1.0,MEDIUM,False,True,0 days 01:42:08.474000,0.0,,1.0,
,6,,1,0.0,MEDIUM,True,True,0 days 01:42:13.483000,0.0,,0.0,
,9,,1,3.0,MEDIUM,False,True,0 days 01:42:13.483000,0.0,,3.0,
,11,,1,2.0,HARD,False,True,0 days 01:42:18.488000,0.0,,2.0,
,16,,1,1.0,,False,False,0 days 01:44:13.495000,,,,
,44,,1,1.0,,False,False,0 days 01:44:18.490000,,,,
,77,,1,1.0,,False,False,0 days 01:44:18.490000,,,,
,4,,1,3.0,,False,False,0 days 01:44:23.495000,,,,
,3,,1,3.0,,False,False,0 days 01:44:28.501000,,,,
,5,,1,6.0,,False,False,0 days 01:44:28.501000,,,,
,14,,1,2.0,,False,False,0 days 01:44:33.495000,,,,
,55,,1,1.0,,False,False,0 days 01:44:38.501000,,,,
,7,,1,1.0,,False,False,0 days 01:44:43.509000,,,,
,31,,1,1.0,,False,False,0 days 01:44:43.509000,,,,
,18,,1,3.0,,False,False,0 days 01:44:48.494000,,,,
,10,,1,3.0,,False,False,0 days 01:44:53.503000,,,,
,63,,1,1.0,,False,False,0 days 01:44:58.508000,,,,
,99,,1,1.0,,False,False,0 days 01:44:58.508000,,,,
,22,,1,3.0,,False,False,0 days 01:45:03.497000,,,,
,47,,1,2.0,,False,False,0 days 01:45:03.497000,,,,
,6,,1,1.0,,False,False,0 days 01:45:08.510000,,,,
,9,,1,4.0,,False,False,0 days 01:45:23.492000,,,,
,11,,1,3.0,,False,False,0 days 01:45:23.492000,,,,
,16,,1,2.0,,False,False,0 days 01:46:53.500000,,,,
,44,,1,2.0,,False,False,0 days 01:46:53.500000,,,,
4.0,16,0 days 00:02:40.134000,1,,,False,False,0 days 01:46:53.821000,1.0,,,
4.0,44,0 days 00:02:37.266000,1,,,False,False,0 days 01:46:53.821000,3.0,,,
,3,,1,4.0,,False,False,0 days 01:46:58.503000,,,,
,4,,1,4.0,,False,False,0 days 01:46:58.503000,,,,
,14,,1,3.0,,False,False,0 days 01:46:58.503000,,,,
,18,,1,4.0,,False,False,0 days 01:46:58.503000,,,,
,55,,1,2.0,,False,False,0 days 01:46:58.503000,,,,
,77,,1,2.0,,False,False,0 days 01:46:58.503000,,,,
4.0,3,0 days 00:02:30.939000,1,,,False,False,0 days 01:46:58.553000,1.0,,,
4.0,4,0 days 00:02:32.439000,1,,,False,False,0 days 01:46:58.553000,1.0,,,
4.0,14,0 days 00:02:24.593000,1,,,False,False,0 days 01:46:58.553000,1.0,,,
4.0,18,0 days 00:02:12.540000,1,,,False,False,0 days 01:46:58.553000,3.0,,,
,44,,1,,,False,False,0 days 01:46:58.553000,1.0,,,
4.0,55,0 days 00:02:22.426000,1,,,False,False,0 days 01:46:58.553000,1.0,,,
4.0,77,0 days 00:02:36.914000,1,,,False,False,0 days 01:46:58.553000,1.0,,,
,6,,1,2.0,,False,False,0 days 01:47:03.508000,,,,
,7,,1,2.0,,False,False,0 days 01:47:03.508000,,,,
,10,,1,4.0,,False,False,0 days 01:47:03.508000,,,,
,11,,1,4.0,,False,False,0 days 01:47:03.508000,,,,
,22,,1,4.0,,False,False,0 days 01:47:03.508000,,,,
,31,,1,2.0,,False,False,0 days 01:47:03.508000,,,,
,47,,1,3.0,,False,False,0 days 01:47:03.508000,,,,
,63,,1,2.0,,False,False,0 days 01:47:03.508000,,,,
,99,,1,2.0,,False,False,0 days 01:47:03.508000,,,,
4.0,6,0 days 00:01:56.501000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,7,0 days 00:02:19.184000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,10,0 days 00:02:08.686000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,11,0 days 00:01:42.651000,1,,,False,False,0 days 01:47:03.605000,3.0,,,
,18,,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,22,0 days 00:02:00.737000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,31,0 days 00:02:16.604000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,47,0 days 00:01:59.887000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,63,0 days 00:02:02.552000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
4.0,99,0 days 00:02:05.661000,1,,,False,False,0 days 01:47:03.605000,1.0,,,
,9,,1,5.0,,False,False,0 days 01:47:08.501000,,,,
4.0,9,0 days 00:01:44.503000,1,,,False,False,0 days 01:47:08.502000,1.0,,,
,5,,1,7.0,,False,False,0 days 01:47:13.506000,,,,
4.0,5,0 days 00:02:42.978000,1,,,False,False,0 days 01:47:13.708000,1.0,,,
,11,,1,,,False,False,0 days 01:48:24.727000,1.0,,,
5.0,16,0 days 00:01:32.805000,1,,,False,False,0 days 01:48:24.727000,3.0,,,
5.0,44,0 days 00:01:33.049000,1,,,False,False,0 days 01:48:26.108000,,,,
5.0,4,0 days 00:01:33.318000,1,,,False,False,0 days 01:48:27.594000,,,,
,4,,1,5.0,,False,False,0 days 01:48:28.502000,,,,
,16,,1,3.0,,False,False,0 days 01:48:28.502000,,,,
,44,,1,3.0,,False,False,0 days 01:48:28.502000,,,,
5.0,77,0 days 00:01:33.727000,1,,,False,False,0 days 01:48:28.643000,,,,
5.0,3,0 days 00:01:34.142000,1,,,False,False,0 days 01:48:30.132000,,,,
5.0,55,0 days 00:01:33.782000,1,,,False,False,0 days 01:48:31.146000,,,,
5.0,14,0 days 00:01:35.626000,1,,,False,False,0 days 01:48:32.441000,,,,
5.0,18,0 days 00:01:35.163000,1,,,False,False,0 days 01:48:33.269000,,,,
,3,,1,5.0,,False,False,0 days 01:48:33.517000,,,,
,14,,1,4.0,,False,False,0 days 01:48:33.517000,,,,
,18,,1,5.0,,False,False,0 days 01:48:33.517000,,,,
,55,,1,3.0,,False,False,0 days 01:48:33.517000,,,,
,77,,1,3.0,,False,False,0 days 01:48:33.517000,,,,
